For Trial 40... Values: [5.0, 45.0], Params: {'alphadecay': 0.134, 'banditbatch': 35, 'gamma': 0.42000000000000004, 'learnalpha': 0.9, 'maxqvals': 250, 'maxtreedepth': 50, 'splitDecay': 0.766, 'trimvisit': 0.33, 'visitdecay': 0.852}
For Trial 122... Values: [32.0, 11.0], Params: {'alphadecay': 0.43, 'banditbatch': 25, 'gamma': 0.75, 'learnalpha': 0.77, 'maxqvals': 150, 'maxtreedepth': 75, 'splitDecay': 0.749, 'trimvisit': 0.38, 'visitdecay': 0.973}
For Trial 162... Values: [0.0, 49.0], Params: {'alphadecay': 0.42, 'banditbatch': 40, 'gamma': 0.56, 'learnalpha': 0.78, 'maxqvals': 350, 'maxtreedepth': 85, 'splitDecay': 0.8859999999999999, 'trimvisit': 0.36, 'visitdecay': 0.961}
For Trial 305... Values: [5.0, 45.0], Params: {'alphadecay': 0.216, 'banditbatch': 50, 'gamma': 0.92, 'learnalpha': 0.11, 'maxqvals': 450, 'maxtreedepth': 20, 'splitDecay': 0.734, 'trimvisit': 0.55, 'visitdecay': 0.735}
For Trial 419... Values: [3.0, 46.0], Params: {'alphadecay': 0.444, 'banditbatch': 55, 'gamma': 0.87, 'learnalpha': 0.71, 'maxqvals': 750, 'maxtreedepth': 50, 'splitDecay': 0.702, 'trimvisit': 0.69, 'visitdecay': 0.868}
For Trial 458... Values: [0.0, 49.0], Params: {'alphadecay': 0.2, 'banditbatch': 15, 'gamma': 0.19, 'learnalpha': 0.5, 'maxqvals': 650, 'maxtreedepth': 30, 'splitDecay': 0.826, 'trimvisit': 0.65, 'visitdecay': 0.985}
For Trial 546... Values: [592.0, 0.0], Params: {'alphadecay': 0.375, 'banditbatch': 120, 'gamma': 0.19, 'learnalpha': 0.93, 'maxqvals': 950, 'maxtreedepth': 90, 'splitDecay': 0.963, 'trimvisit': 0.53, 'visitdecay': 0.874}
For Trial 783... Values: [380.0, 2.0], Params: {'alphadecay': 0.018000000000000002, 'banditbatch': 180, 'gamma': 0.31, 'learnalpha': 0.43000000000000005, 'maxqvals': 200, 'maxtreedepth': 90, 'splitDecay': 0.986, 'trimvisit': 0.7, 'visitdecay': 0.969}
For Trial 814... Values: [3.0, 46.0], Params: {'alphadecay': 0.394, 'banditbatch': 35, 'gamma': 0.94, 'learnalpha': 0.69, 'maxqvals': 800, 'maxtreedepth': 40, 'splitDecay': 0.738, 'trimvisit': 0.56, 'visitdecay': 0.8039999999999999}
For Trial 835... Values: [0.0, 49.0], Params: {'alphadecay': 0.378, 'banditbatch': 15, 'gamma': 0.61, 'learnalpha': 0.78, 'maxqvals': 100, 'maxtreedepth': 75, 'splitDecay': 0.7649999999999999, 'trimvisit': 0.43000000000000005, 'visitdecay': 0.941}
For Trial 857... Values: [0.0, 49.0], Params: {'alphadecay': 0.113, 'banditbatch': 15, 'gamma': 0.41000000000000003, 'learnalpha': 0.12000000000000001, 'maxqvals': 500, 'maxtreedepth': 45, 'splitDecay': 0.845, 'trimvisit': 0.59, 'visitdecay': 0.9329999999999999}
For Trial 866... Values: [324.0, 3.0], Params: {'alphadecay': 0.486, 'banditbatch': 115, 'gamma': 0.89, 'learnalpha': 0.75, 'maxqvals': 1000, 'maxtreedepth': 25, 'splitDecay': 0.9969999999999999, 'trimvisit': 0.35, 'visitdecay': 0.852}
For Trial 923... Values: [239.0, 7.0], Params: {'alphadecay': 0.247, 'banditbatch': 70, 'gamma': 0.13, 'learnalpha': 0.45000000000000007, 'maxqvals': 250, 'maxtreedepth': 40, 'splitDecay': 0.701, 'trimvisit': 0.69, 'visitdecay': 0.7919999999999999}
For Trial 1062... Values: [186.0, 9.0], Params: {'alphadecay': 0.07200000000000001, 'banditbatch': 90, 'gamma': 0.95, 'learnalpha': 0.28, 'maxqvals': 800, 'maxtreedepth': 85, 'splitDecay': 0.8779999999999999, 'trimvisit': 0.51, 'visitdecay': 0.9319999999999999}
For Trial 1230... Values: [475.0, 1.0], Params: {'alphadecay': 0.253, 'banditbatch': 135, 'gamma': 0.79, 'learnalpha': 0.9, 'maxqvals': 750, 'maxtreedepth': 25, 'splitDecay': 0.706, 'trimvisit': 0.38, 'visitdecay': 0.9039999999999999}
For Trial 1286... Values: [13.0, 36.0], Params: {'alphadecay': 0.171, 'banditbatch': 40, 'gamma': 0.63, 'learnalpha': 0.33999999999999997, 'maxqvals': 300, 'maxtreedepth': 30, 'splitDecay': 0.766, 'trimvisit': 0.14, 'visitdecay': 0.744}
For Trial 1322... Values: [5.0, 45.0], Params: {'alphadecay': 0.319, 'banditbatch': 45, 'gamma': 0.89, 'learnalpha': 0.37, 'maxqvals': 750, 'maxtreedepth': 40, 'splitDecay': 0.996, 'trimvisit': 0.62, 'visitdecay': 0.7729999999999999}
For Trial 1427... Values: [9.0, 37.0], Params: {'alphadecay': 0.036000000000000004, 'banditbatch': 45, 'gamma': 0.66, 'learnalpha': 0.26, 'maxqvals': 650, 'maxtreedepth': 50, 'splitDecay': 0.979, 'trimvisit': 0.7, 'visitdecay': 0.7779999999999999}
For Trial 1468... Values: [270.0, 4.0], Params: {'alphadecay': 0.495, 'banditbatch': 145, 'gamma': 0.94, 'learnalpha': 0.77, 'maxqvals': 100, 'maxtreedepth': 30, 'splitDecay': 0.712, 'trimvisit': 0.45000000000000007, 'visitdecay': 0.839}
