??(h:m:s:ms),??(V),??(A),D+(V),D-(V),????
00:00:00:000,4.785,0.445,1.9,1.9,null
00:00:00:010,4.785,0.445,1.9,1.9,null
00:00:00:020,4.785,0.445,1.9,1.9,null
00:00:00:030,4.785,0.445,1.9,1.9,null
00:00:00:040,4.785,0.445,1.9,1.9,null
00:00:00:050,4.785,0.445,1.9,1.9,null
00:00:00:060,4.785,0.445,1.9,1.9,null
00:00:00:070,4.785,0.445,1.9,1.9,null
00:00:00:080,4.785,0.445,1.9,1.9,null
00:00:00:090,4.785,0.445,1.9,1.9,null
00:00:00:100,4.785,0.445,1.9,1.9,null
00:00:00:110,4.785,0.445,1.9,1.9,null
00:00:00:120,4.785,0.445,1.9,1.9,null
00:00:00:130,4.785,0.445,1.9,1.9,null
00:00:00:140,4.785,0.445,1.9,1.9,null
00:00:00:150,4.785,0.445,1.9,1.9,null
00:00:00:160,4.785,0.445,1.9,1.9,null
00:00:00:170,4.785,0.445,1.9,1.9,null
00:00:00:180,4.785,0.445,1.9,1.9,null
00:00:00:190,4.773,0.469,1.9,1.9,null
00:00:00:200,4.773,0.469,1.9,1.9,null
00:00:00:210,4.773,0.469,1.9,1.9,null
00:00:00:220,4.773,0.469,1.9,1.9,null
00:00:00:230,4.773,0.469,1.9,1.9,null
00:00:00:240,4.773,0.469,1.9,1.9,null
00:00:00:250,4.773,0.469,1.9,1.9,null
00:00:00:260,4.773,0.469,1.9,1.9,null
00:00:00:270,4.773,0.469,1.9,1.9,null
00:00:00:280,4.773,0.469,1.9,1.9,null
00:00:00:290,4.773,0.469,1.9,1.9,null
00:00:00:300,4.773,0.469,1.9,1.9,null
00:00:00:310,4.773,0.469,1.9,1.9,null
00:00:00:320,4.773,0.469,1.9,1.9,null
00:00:00:330,4.773,0.469,1.9,1.9,null
00:00:00:340,4.773,0.469,1.9,1.9,null
00:00:00:350,4.773,0.469,1.9,1.9,null
00:00:00:360,4.773,0.469,1.9,1.9,null
00:00:00:370,4.773,0.469,1.9,1.9,null
00:00:00:380,4.773,0.469,1.9,1.9,null
00:00:00:390,4.773,0.469,1.9,1.9,null
00:00:00:400,4.773,0.469,1.9,1.9,null
00:00:00:410,4.773,0.469,1.9,1.9,null
00:00:00:420,4.773,0.469,1.9,1.9,null
00:00:00:430,4.773,0.469,1.9,1.9,null
00:00:00:440,4.773,0.469,1.9,1.9,null
00:00:00:450,4.773,0.469,1.9,1.9,null
00:00:00:460,4.773,0.469,1.9,1.9,null
00:00:00:470,4.773,0.469,1.9,1.9,null
00:00:00:480,4.773,0.469,1.9,1.9,null
00:00:00:490,4.763,0.488,1.9,1.9,null
00:00:00:500,4.763,0.488,1.9,1.9,null
00:00:00:510,4.763,0.488,1.9,1.9,null
